# molecule         = LiH
# geometry         = Li 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.010000
# omega            = 0.120800
# mode_dir         = [0.0, 0.0, 1.0]
# scheme           = axial
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 20
# n_fock_states    = 21
# ff_step_h        = 0.0005
# n_field_points   = 9
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 1
# coherent_state   = True
# z_selfconsistent_iter = 4
# R_range_Ang      = 0.8:0.1:6.0
# R_e_ref_Ang      = 1.5957
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-14 14:03:15
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.800000       1.896347       0.000000       0.000000      -1.896347      27.323378      27.323378      13.367615       0.000000      22.671457       0.003385       0.003385       0.002844      -1.896365      27.294918      27.294918      13.298657      22.629498       0.000000  OK
     0.900000       1.908711      -0.000000       0.000000      -1.908711      25.342679      25.342679      13.257214       0.000000      21.314190       0.002847       0.002847       0.002455      -1.908758      25.318128      25.318128      13.193929      21.276728            nan  OK
     1.000000       1.939103      -0.000000       0.000000      -1.939103      24.567500      24.567500      13.854477       0.000000      20.996492       0.002624       0.002624       0.002452      -1.939197      24.543975      24.543975      13.789085      20.959012            nan  OK
     1.100000       1.983490      -0.000000       0.000000      -1.983490      24.526969      24.526969      14.950575       0.000000      21.334838       0.002589       0.002589       0.002674      -1.983644      24.502802      24.502802      14.878063      21.294556            nan  OK
     1.200000       2.038772      -0.000000       0.000000      -2.038772      24.981696      24.981696      16.472142       0.000000      22.145178       0.002682       0.002682       0.003090      -2.038999      24.955691      24.955691      16.387870      22.099750            nan  OK
     1.300000       2.102688      -0.000000       0.000000      -2.102688      25.811726      25.811726      18.399302       0.000000      23.340918       0.002874       0.002874       0.003734      -2.103008      25.782878      25.782878      18.297773      23.287843            nan  OK
     1.400000       2.173440      -0.000000       0.000000      -2.173440      26.954630      26.954630      20.733107       0.000000      24.880789       0.003154       0.003154       0.004680      -2.173877      26.921986      26.921986      20.607260      24.817077            nan  OK
     1.500000       2.249389      -0.000000       0.000000      -2.249389      28.365602      28.365602      23.489990       0.000000      26.740398       0.003519       0.003519       0.006023      -2.249977      28.328133      28.328133      23.330921      26.662396            nan  OK
     1.600000       2.329017       0.000000       0.000000      -2.329017      30.004430      30.004430      26.709106       0.000000      28.905989       0.003967       0.003967       0.007888      -2.329795      29.960944      29.960944      26.505709      28.809199            nan  OK
     1.700000       2.410951      -0.000000       0.000000      -2.410951      31.841311      31.841311      30.457892       0.000000      31.380171       0.004512       0.004512       0.010447      -2.411969      31.790393      31.790393      30.196106      31.258964            nan  OK
     1.800000       2.493907       0.000000       0.000000      -2.493907      33.861703      33.861703      34.833318       0.000000      34.185575       0.005170       0.005170       0.013932      -2.495228      33.801661      33.801661      34.494998      34.032773            nan  OK
     1.900000       2.576597       0.000000       0.000000      -2.576597      36.064829      36.064829      39.962787       0.000000      37.364148       0.005953       0.005953       0.018666      -2.578297      35.993630      35.993630      39.524245      37.170502            nan  OK
     2.000000       2.657659       0.000000       0.000000      -2.657659      38.460023      38.460023      46.007349       0.000000      40.975798       0.006888       0.006888       0.025091      -2.659835      38.375263      38.375263      45.437531      40.729352            nan  OK
     2.100000       2.735613      -0.000000       0.000000      -2.735613      41.063879      41.063879      53.167618       0.000000      45.098459       0.007992       0.007992       0.033772      -2.738381      40.962710      40.962710      52.425817      44.783746            nan  OK
     2.200000       2.808814       0.000000       0.000000      -2.808814      43.898498      43.898498      61.691591       0.000000      49.829529       0.009288       0.009288       0.045434      -2.812317      43.777623      43.777623      60.724739      49.426661            nan  OK
     2.300000       2.875426       0.000000       0.000000      -2.875426      46.990616      46.990616      71.883174       0.000000      55.288136       0.010817       0.010817       0.060933      -2.879834      46.846326      46.846326      70.622766      54.771806            nan  OK
     2.400000       2.933381       0.000000       0.000000      -2.933381      50.371164      50.371164      84.109285       0.000000      61.617204       0.012615       0.012615       0.081164      -2.938891      50.199453      50.199453      82.468268      60.955725            nan  OK
     2.500000       2.980355      -0.000000       0.000000      -2.980355      54.074887      54.074887      98.802197       0.000000      68.983990       0.014691       0.014691       0.106828      -2.987191      53.871677      53.871677      96.672509      68.138621            nan  OK
     2.600000       3.013757       0.000000       0.000000      -3.013757      58.139506      58.139506     116.451678       0.000000      77.576897       0.017084       0.017084       0.137954      -3.022151      57.901206      57.901206     113.703727      76.502046            nan  OK
     2.700000       3.030735       0.000000       0.000000      -3.030735      62.604322      62.604322     137.578713       0.000000      87.595786       0.019812       0.019812       0.173061      -3.040903      62.328662      62.328662     134.064744      86.240689            nan  OK
     2.800000       3.028227       0.000000       0.000000      -3.028227      67.507544      67.507544     162.679399       0.000000      99.231496       0.022874       0.022874       0.207829      -3.040321      67.194884      67.194884     158.243134      97.544301            nan  OK
     2.900000       3.003084      -0.000000       0.000000      -3.003084      72.882055      72.882055     192.125558       0.000000     112.629889       0.026198       0.026198       0.233426      -3.017117      72.537109      72.537109     186.620107     110.564775            nan  OK
     3.000000       2.952281      -0.000000       0.000000      -2.952281      78.748853      78.748853     226.011280       0.000000     127.836328       0.029714       0.029714       0.235357      -2.968030      78.382912      78.382912     219.324944     125.363589            nan  OK
     3.100000       2.873270       0.000000       0.000000      -2.873270      85.108593      85.108593     263.949073       0.000000     144.722086       0.033248       0.033248       0.194114      -2.890158      84.741496      84.741496     256.032656     141.838549            nan  OK
     3.200000       2.764449       0.000000       0.000000      -2.764449      91.931341      91.931341     304.849214       0.000000     162.903966       0.036591       0.036591       0.090258      -2.781446      91.592538      91.592538     295.729992     159.638356            nan  OK
     3.300000       2.625721      -0.000000       0.000000      -2.625721      99.146973      99.146973     346.762829       0.000000     181.685592       0.039422       0.039422       0.084779      -2.641324      98.874140      98.874140     336.526173     178.091485            nan  OK
     3.400000       2.459020      -0.000000       0.000000      -2.459020     106.639013     106.639013     386.909435       0.000000     200.062487       0.041446       0.041446       0.314665      -2.471361     106.473390     106.473390     375.637763     196.194847            nan  OK
     3.500000       2.268599      -0.000000       0.000000      -2.268599     114.246565     114.246565     421.999342       0.000000     216.830824       0.042388       0.042388       0.550039      -2.275742     114.224748     114.224748     409.689286     212.712927            nan  OK
     3.600000       2.060905      -0.000000       0.000000      -2.060905     121.776857     121.776857     448.856407       0.000000     230.803373       0.042074       0.042074       0.717767      -2.061263     121.921247     121.921247     435.370810     226.404435            nan  OK
     3.700000       1.843932       0.000000       0.000000      -1.843932     129.027832     129.027832     465.168852       0.000000     241.074839       0.040491       0.040491       0.749764      -1.836677     129.339464     129.339464     450.280812     236.319913            nan  OK
     3.800000       1.626176       0.000000       0.000000      -1.626176     135.815476     135.815476     470.064177       0.000000     247.231709       0.037840       0.037840       0.616457      -1.611458     136.272878     136.272878     453.591489     242.045748            nan  OK
     3.900000       1.415481       0.000000       0.000000      -1.415481     141.997903     141.997903     464.249948       0.000000     249.415251       0.034411       0.034411       0.341797      -1.394365     142.562381     142.562381     446.203019     243.775927            nan  OK
     4.000000       1.218117       0.000000       0.000000      -1.218117     147.488994     147.488994     449.683436       0.000000     248.220475       0.030544       0.030544       0.010110      -1.192275     148.114061     148.114061     430.334031     242.187385            nan  OK
     4.100000       1.038312       0.000000       0.000000      -1.038312     152.259363     152.259363     428.965001       0.000000     244.494576       0.026582       0.026582       0.365040      -1.009631     152.900272     152.900272     408.802506     238.201017            nan  OK
     4.200000       0.878254       0.000000       0.000000      -0.878254     156.327336     156.327336     404.729359       0.000000     239.128011       0.022794       0.022794       0.665211      -0.848494     156.947590     156.947590     384.344251     232.746477            nan  OK
     4.300000       0.738416      -0.000000       0.000000      -0.738416     159.744848     159.744848     379.223944       0.000000     232.904547       0.019313       0.019313       0.880722      -0.709007     160.318847     160.318847     359.184651     226.607449            nan  OK
     4.400000       0.618031      -0.000000       0.000000      -0.618031     162.582729     162.582729     354.121677       0.000000     226.429045       0.016298       0.016298       1.007086      -0.590000     163.095633     163.095633     334.890358     220.360541            nan  OK
     4.500000       0.515560      -0.000000       0.000000      -0.515560     164.919282     164.919282     330.516760       0.000000     220.118441       0.013654       0.013654       1.055918      -0.489557     165.364673     165.364673     312.414370     214.381239            nan  OK
     4.600000       0.429077      -0.000000       0.000000      -0.429077     166.831421     166.831421     309.019821       0.000000     214.227554       0.011419       0.011419       1.045811      -0.405440     167.209143     167.209143     292.229779     208.882688            nan  OK
     4.700000       0.356544      -0.000000       0.000000      -0.356544     168.390087     168.390087     289.885575       0.000000     208.888583       0.009553       0.009553       0.995772      -0.335385     168.703927     168.703927     274.477894     203.961916            nan  OK
     4.800000       0.295985      -0.000000       0.000000      -0.295985     169.657829     169.657829     273.132058       0.000000     204.149239       0.008003       0.008003       0.921925      -0.277262     169.913695     169.913695     259.093782     199.640391            nan  OK
     4.900000       0.245584      -0.000000       0.000000      -0.245584     170.688128     170.688128     258.635169       0.000000     200.003809       0.006723       0.006723       0.836476      -0.229159     170.892836     170.892836     245.898895     195.894856            nan  OK
     5.000000       0.203727      -0.000000       0.000000      -0.203727     171.525752     171.525752     246.196236       0.000000     196.415914       0.005675       0.005675       0.747869      -0.189412     171.686202     171.686202     234.662907     192.678437            nan  OK
     5.100000       0.169014      -0.000000       0.000000      -0.169014     172.207658     172.207658     235.586446       0.000000     193.333920       0.004811       0.004811       0.661523      -0.156599     172.330359     172.330359     225.142094     189.934271            nan  OK
     5.200000       0.140250      -0.000000       0.000000      -0.140250     172.763991     172.763991     226.574103       0.000000     190.700695       0.004104       0.004104       0.580603      -0.129521     172.854884     172.854884     217.101170     187.603646            nan  OK
