# molecule         = H2
# geometry         = H 0 0 0; H 0 0 {R:.6f}
# basis            = sadlej
# basis_source     = sadlej.gbs
# lambda           = 0.100000
# omega            = 0.468700
# mode_dir         = [1.0, 0.0, 0.0]
# scheme           = general
# offdiag          = none
# method           = QED-FCI
# nboson_max       = 8
# n_fock_states    = 9
# ff_step_h        = 0.001
# n_field_points   = 13
# fci_tol          = 1e-11
# fci_max_cycle    = 300
# scf_conv_tol     = 1e-12
# center_geometry  = True
# frozen_core_orbitals = 0
# coherent_state   = True
# z_selfconsistent_iter = 0
# R_range_Ang      = 0.4:0.1:5.0
# R_e_ref_Ang      = 0.7414
# pyscf            = 2.11.0
# python           = 3.13.12
# host             = fedora
# date             = 2026-08-17 21:49:16
# columns          = R,mu_abs,mu_x,mu_y,mu_z,a_xx,a_yy,a_zz,a_xz,a_iso,err_xx,err_yy,err_zz,dse_mu_z,dse_a_xx,dse_a_yy,dse_a_zz,dse_a_iso,boson_gap,status
#             R         mu_abs           mu_x           mu_y           mu_z           a_xx           a_yy           a_zz           a_xz          a_iso         err_xx         err_yy         err_zz       dse_mu_z       dse_a_xx       dse_a_yy       dse_a_zz      dse_a_iso      boson_gap         status
     0.400000  FAILED  # быстрая свёртка расходится с эталонной
     0.500000       0.000000      -0.000000      -0.000000       0.000000       2.898906       2.882141       3.975657       0.000000       3.252235       0.000017       0.000016       0.000087      -0.000000       2.769180       2.856774       3.926986       3.184313            nan  OK
     0.600000       0.000000      -0.000000      -0.000000       0.000000       3.466068       3.441881       4.919226       0.000000       3.942392       0.000044       0.000042       0.000132      -0.000000       3.284892       3.406317       4.852986       3.848065            nan  OK
     0.700000       0.000000      -0.000000      -0.000000       0.000000       4.074545       4.041145       6.029423       0.000000       4.715037       0.000061       0.000058       0.000175       0.000000       3.831829       3.993914       5.942302       4.589348            nan  OK
     0.800000       0.000000       0.000000      -0.000000       0.000000       4.705624       4.661457       7.295391       0.000000       5.554157       0.000078       0.000074       0.000227      -0.000000       4.392658       4.601543       7.184218       5.392806            nan  OK
     0.900000       0.000000      -0.000000       0.000000       0.000000       5.341132       5.285021       8.697296       0.000000       6.441150       0.000096       0.000091       0.000290       0.000000       4.951101       5.211835       8.559143       6.240693            nan  OK
     1.000000       0.000000      -0.000000       0.000000      -0.000000       5.963805       5.895043      10.202793       0.000000       7.353880       0.000114       0.000108       0.000369       0.000000       5.492201       5.808379      10.035039       7.111873            nan  OK
     1.100000       0.000000      -0.000000      -0.000000       0.000000       6.557451       6.475857      11.763816       0.000000       8.265708       0.000133       0.000125       0.000470       0.000000       6.002402       6.375839      11.564162       7.980801            nan  OK
     1.200000       0.000000      -0.000000      -0.000000       0.000000       7.107315       7.013260      13.315270       0.000000       9.145282       0.000151       0.000142       0.000604      -0.000000       6.469798       6.900297      13.081722       8.817273            nan  OK
     1.300000       0.000000      -0.000000      -0.000000      -0.000000       7.600553       7.494940      14.776935       0.000000       9.957476       0.000168       0.000158       0.000785       0.000000       6.884446       7.369693      14.507889       9.587343            nan  OK
     1.400000       0.000000      -0.000000      -0.000000      -0.000000       8.026878       7.911083      16.059886       0.000000      10.665949       0.000185       0.000173       0.001029       0.000000       7.238817       7.774445      15.754376      10.255879            nan  OK
     1.500000       0.000000      -0.000000      -0.000000       0.000000       8.379454       8.255211      17.077784       0.000000      11.237483       0.000200       0.000187       0.001347      -0.000000       7.528436       8.108292      16.735953      10.790894            nan  OK
     1.600000       0.000000      -0.000000      -0.000000      -0.000000       8.655768       8.525016      17.761505       0.000000      11.647430       0.000215       0.000200       0.001736      -0.000000       7.752497       8.369136      17.385242      11.168958            nan  OK
     1.700000       0.000000      -0.000000      -0.000000      -0.000000       8.858125       8.722818      18.073472       0.000000      11.884805       0.000227       0.000212       0.002176      -0.000000       7.914150       8.559481      17.667011      11.380214            nan  OK
     1.800000       0.000000      -0.000000      -0.000000      -0.000000       8.993425       8.855352      18.016818       0.000000      11.955198       0.000237       0.000221       0.002621      -0.000000       8.020188       8.686188      17.586973      11.431116            nan  OK
     1.900000       0.000000      -0.000000      -0.000000      -0.000000       9.072121       8.932769      17.635334       0.000000      11.880075       0.000247       0.000231       0.003022       0.000000       8.080094       8.759457      17.191125      11.343558            nan  OK
     2.000000       0.000000      -0.000000      -0.000000      -0.000000       9.106659       8.967131      17.003520       0.000000      11.692437       0.000249       0.000231       0.003318      -0.000000       8.104659       8.791254      16.555137      11.150350            nan  OK
     2.100000       0.000000      -0.000000      -0.000000      -0.000000       9.109641       8.970650      16.210092       0.000000      11.430128       0.000253       0.000236       0.003489      -0.000000       8.104525       8.793626      15.767588      10.888579            nan  OK
     2.200000       0.000000      -0.000000      -0.000000       0.000000       9.092427       8.954351      15.341107       0.000000      11.129295       0.000258       0.000241       0.003527      -0.000000       8.089027       8.777314      14.913132      10.593158            nan  OK
     2.300000       0.000000      -0.000000      -0.000000      -0.000000       9.064215       8.927184      14.467666       0.000000      10.819688       0.000258       0.000241       0.003439       0.000000       8.065559       8.750952      14.060671      10.292394            nan  OK
     2.400000       0.000000      -0.000000      -0.000000      -0.000000       9.031761       8.895744      13.640387       0.000000      10.522631       0.000254       0.000234       0.003254       0.000000       8.039432       8.720842      13.258391      10.006222            nan  OK
     2.500000       0.000000      -0.000000      -0.000000       0.000000       8.999556       8.864420      12.889689       0.000000      10.251221       0.000255       0.000239       0.003022      -0.000000       8.014106       8.691159      12.534517       9.746594            nan  OK
     2.600000       0.000000      -0.000000       0.000000       0.000000       8.970304       8.835895      12.229625       0.000000      10.011941       0.000253       0.000237       0.002750       0.000000       7.991577       8.664372      11.901288       9.519079            nan  OK
     2.700000       0.000000      -0.000000      -0.000000       0.000000       8.945348       8.811504      11.662563       0.000000       9.806472       0.000251       0.000235       0.002472       0.000000       7.972794       8.641703      11.359821       9.324773            nan  OK
     2.800000       0.000000      -0.000000       0.000000      -0.000000       8.925142       8.791707      11.183670       0.000000       9.633506       0.000248       0.000232       0.002200       0.000000       7.958013       8.623540      10.904484       9.162012            nan  OK
     2.900000       0.000000      -0.000000       0.000000       0.000000       8.909575       8.776408      10.784267       0.000000       9.490083       0.000246       0.000231       0.001947       0.000000       7.947073       8.609750      10.526188       9.027670            nan  OK
     3.000000       0.000000      -0.000000       0.000000       0.000000       8.898225       8.765207      10.454170       0.000000       9.372534       0.000244       0.000229       0.001716      -0.000000       7.939580       8.599914      10.214601       8.918032            nan  OK
     3.100000       0.000000      -0.000000       0.000000      -0.000000       8.890522       8.757543      10.183096       0.000000       9.277054       0.000242       0.000227       0.001510      -0.000000       7.935040       8.593479       9.959483       8.829334            nan  OK
     3.200000       0.000000      -0.000000       0.000000       0.000000       8.885852       8.752823       9.961463       0.000000       9.200046       0.000240       0.000226       0.001329       0.000000       7.932932       8.589856       9.751406       8.758065            nan  OK
     3.300000       0.000000      -0.000000       0.000000       0.000000       8.883622       8.750466       9.780750       0.000000       9.138279       0.000238       0.000224       0.001170      -0.000000       7.932762       8.588480       9.582066       8.701103            nan  OK
     3.400000       0.000000      -0.000000       0.000000       0.000000       8.883299       8.749953       9.633612       0.000000       9.088955       0.000237       0.000223       0.001034      -0.000000       7.934086       8.588845       9.444362       8.655764            nan  OK
     3.500000       0.000000      -0.000000       0.000000       0.000000       8.884420       8.750836       9.513847       0.000000       9.049701       0.000235       0.000221       0.000916       0.000000       7.936523       8.590517       9.332339       8.619793            nan  OK
     3.600000       0.000000      -0.000000       0.000000       0.000000       8.886603       8.752746       9.416291       0.000000       9.018547       0.000234       0.000220       0.000815       0.000000       7.939757       8.593138       9.241074       8.591323            nan  OK
     3.700000       0.000000      -0.000000       0.000000      -0.000000       8.889538       8.755387       9.336690       0.000000       8.993872       0.000233       0.000219       0.000730      -0.000000       7.943535       8.596422       9.166533       8.568830            nan  OK
     3.800000       0.000000      -0.000000       0.000000      -0.000000       8.892983       8.758526       9.271563       0.000000       8.974357       0.000232       0.000218       0.000657      -0.000000       7.947659       8.600148       9.105435       8.551080            nan  OK
     3.900000       0.000000      -0.000000       0.000000      -0.000000       8.896753       8.761989       9.218077       0.000000       8.958940       0.000231       0.000217       0.000595      -0.000000       7.951977       8.604147       9.055122       8.537082            nan  OK
     4.000000       0.000000      -0.000000       0.000000      -0.000000       8.900709       8.765643       9.173935       0.000000       8.946762       0.000230       0.000216       0.000542      -0.000000       7.956378       8.608294       9.013452       8.526041            nan  OK
     4.100000       0.000000      -0.000000       0.000000      -0.000000       8.904748       8.769393       9.137283       0.000000       8.937142       0.000229       0.000216       0.000497      -0.000000       7.960780       8.612499       8.978704       8.517327            nan  OK
     4.200000       0.000000      -0.000000       0.000000      -0.000000       8.908798       8.773170       9.106630       0.000000       8.929533       0.000228       0.000215       0.000459      -0.000000       7.965126       8.616695       8.949499       8.510440            nan  OK
     4.300000       0.000000      -0.000000       0.000000      -0.000000       8.912806       8.776922       9.080781       0.000000       8.923503       0.000227       0.000215       0.000427       0.000000       7.969375       8.620837       8.924740       8.504984            nan  OK
     4.400000       0.000000      -0.000000       0.000000      -0.000000       8.916733       8.780617       9.058786       0.000000       8.918712       0.000227       0.000214       0.000399       0.000000       7.973499       8.624892       8.903553       8.500648            nan  OK
     4.500000       0.000000      -0.000000       0.000000       0.000000       8.920556       8.784227       9.039893       0.000000       8.914892       0.000226       0.000213       0.000375       0.000000       7.977479       8.628837       8.885253       8.497190            nan  OK
     4.600000       0.000000       0.000000       0.000000      -0.000000       8.924254       8.787732       9.023507       0.000000       8.911831       0.000226       0.000213       0.000355      -0.000000       7.981304       8.632656       8.869297       8.494419            nan  OK
     4.700000       0.000000       0.000000       0.000000      -0.000000       8.927816       8.791122       9.009166       0.000000       8.909368       0.000225       0.000213       0.000338      -0.000000       7.984965       8.636335       8.855265       8.492189            nan  OK
     4.800000       0.000000      -0.000000       0.000000      -0.000000       8.931233       8.794386       8.996508       0.000000       8.907376       0.000224       0.000211       0.000323       0.000000       7.988459       8.639867       8.842828       8.490384            nan  OK
     4.900000       0.000000       0.000000       0.000000      -0.000000       8.934498       8.797515       8.985251       0.000000       8.905755       0.000225       0.000211       0.000311       0.000000       7.991781       8.643245       8.831730       8.488919            nan  OK
     5.000000       0.000000       0.000000       0.000000      -0.000000       8.937610       8.800502       8.975179       0.000000       8.904430       0.000224       0.000212       0.000300      -0.000000       7.994933       8.646466       8.821770       8.487723       0.000000  OK
